Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.035023,-0.045654,0.26704,0,0,0,289.28,9.2366,0.0048895,0.0033066,19.365,0.51362,22.329,0,0,0,0,0,0,package://robot_V10/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://robot_V10/meshes/base_link.STL,,电机外形图_ST60S-40B30CD-MFBB05-1/电机外形图_ST60S-40B30CD-MFBB05.STEP-1/hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M3X12-S.STEP-5;电机外形图_ST60S-40B30CD-MFBB05-1/电机外形图_ST60S-40B30CD-MFBB05.STEP-1/______-____-0.STEP-1;电机外形图_ST60S-40B30CD-MFBB05-1/电机外形图_ST60S-40B30CD-MFBB05.STEP-1/____-2P-172165-1-h-3d.STEP-1;电机外形图_ST60S-40B30CD-MFBB05-1/电机外形图_ST60S-40B30CD-MFBB05.STEP-1/THC060______-____________.STEP-1;电机外形图_ST60S-40B30CD-MFBB05-1/电机外形图_ST60S-40B30CD-MFBB05.STEP-1/hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M3X12-S.STEP-6;电机外形图_ST60S-40B30CD-MFBB05-1/电机外形图_ST60S-40B30CD-MFBB05.STEP-1/THC060 ________-________.STEP-1;电机外形图_ST60S-40B30CD-MFBB05-1/电机外形图_ST60S-40B30CD-MFBB05.STEP-1/DB15____.STEP-1;电机外形图_ST60S-40B30CD-MFBB05-1/电机外形图_ST60S-40B30CD-MFBB05.STEP-1/hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M3X12-S.STEP-1;电机外形图_ST60S-40B30CD-MFBB05-1/电机外形图_ST60S-40B30CD-MFBB05.STEP-1/hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M3X12-S.STEP-3;电机外形图_ST60S-40B30CD-MFBB05-1/电机外形图_ST60S-40B30CD-MFBB05.STEP-1/TSC402060P03- ______-________.STEP-1;电机外形图_ST60S-40B30CD-MFBB05-1/电机外形图_ST60S-40B30CD-MFBB05.STEP-1/_____THJ060-400W.STEP-1;电机外形图_ST60S-40B30CD-MFBB05-1/电机外形图_ST60S-40B30CD-MFBB05.STEP-1/hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M3X12-S.STEP-2;电机外形图_ST60S-40B30CD-MFBB05-1/电机外形图_ST60S-40B30CD-MFBB05.STEP-1/THC060______L19.3-____________.STEP-1;电机外形图_ST60S-40B30CD-MFBB05-1/电机外形图_ST60S-40B30CD-MFBB05.STEP-1/THC060_________________.STEP-1;电机外形图_ST60S-40B30CD-MFBB05-1/电机外形图_ST60S-40B30CD-MFBB05.STEP-1/hexagon socket head cap screws gb_GB_FASTENER_SCREWS_HSHCS M3X12-S.STEP-4;电机外形图_ST60S-40B30CD-MFBB05-1/电机外形图_ST60S-40B30CD-MFBB05.STEP-1/______-____.STEP-1;X616.08 底板安装板-1;X617R 适配器直线版本-12;X51211.03 箱子建模-1;装配体23^X6123A 仿真文件导出-0131-1/X617R 适配器直线版本-6;装配体23^X6123A 仿真文件导出-0131-1/X617R 适配器直线版本-5;装配体23^X6123A 仿真文件导出-0131-1/X617R 适配器直线版本-7;装配体23^X6123A 仿真文件导出-0131-1/X617R 适配器直线版本-4;装配体23^X6123A 仿真文件导出-0131-1/X617R 适配器直线版本-3;装配体23^X6123A 仿真文件导出-0131-1/X617R 适配器直线版本-2;装配体23^X6123A 仿真文件导出-0131-1/XAM71-A145-1;装配体23^X6123A 仿真文件导出-0131-1/X617R 适配器直线版本-1;装配体23^X6123A 仿真文件导出-0131-1/KPL01-B510-L450-60-DC24-SCM-3-A-A200-1/KPL01-B510-L450-60-DC24-SCM-3-A-A200.stp-1/_KPL01-B510-L450-60-DC24-SCM-3-A-A200-002.stp-1;装配体23^X6123A 仿真文件导出-0131-1/KPL01-B510-L450-60-DC24-SCM-3-A-A200-1/KPL01-B510-L450-60-DC24-SCM-3-A-A200.stp-1/_KPL01-B510-L450-60-DC24-SCM-3-A-A200-001.stp-1;装配体23^X6123A 仿真文件导出-0131-1/X-51211.07 垫高块-2;装配体23^X6123A 仿真文件导出-0131-1/ZCE34-H120-P2-B80-K40-L420-M75-N75-1/ZCE34-H120-P2-B80-K40-L420-M75-N75.stp-1/_ZCE02.stp-1;装配体23^X6123A 仿真文件导出-0131-1/ZCE34-H120-P2-B80-K40-L420-M75-N75-1/ZCE34-H120-P2-B80-K40-L420-M75-N75.stp-1/_ZCE02.stp-2;装配体23^X6123A 仿真文件导出-0131-1/ZCE34-H120-P2-B80-K40-L420-M75-N75-1/ZCE34-H120-P2-B80-K40-L420-M75-N75.stp-1/_ZCE01.stp-2;装配体23^X6123A 仿真文件导出-0131-1/ZCE34-H120-P2-B80-K40-L420-M75-N75-1/ZCE34-H120-P2-B80-K40-L420-M75-N75.stp-1/_ZCE07-L120.stp-2;装配体23^X6123A 仿真文件导出-0131-1/ZCE34-H120-P2-B80-K40-L420-M75-N75-1/ZCE34-H120-P2-B80-K40-L420-M75-N75.stp-1/_ZCE07-L120.stp-1;装配体23^X6123A 仿真文件导出-0131-1/ZCE34-H120-P2-B80-K40-L420-M75-N75-1/ZCE34-H120-P2-B80-K40-L420-M75-N75.stp-1/_ZCE12-L420-K40-M75-N75.stp-1;装配体23^X6123A 仿真文件导出-0131-1/ZCE34-H120-P2-B80-K40-L420-M75-N75-1/ZCE34-H120-P2-B80-K40-L420-M75-N75.stp-1/_ZCE01.stp-1;装配体23^X6123A 仿真文件导出-0131-1/ZCE34-H120-P2-B80-K40-L420-M75-N75-1/ZCE34-H120-P2-B80-K40-L420-M75-N75.stp-1/_ZCE22-L80-M5.stp-2;装配体23^X6123A 仿真文件导出-0131-1/ZCE34-H120-P2-B80-K40-L420-M75-N75-1/ZCE34-H120-P2-B80-K40-L420-M75-N75.stp-1/_ZCE22-L80-M5.stp-1;装配体23^X6123A 仿真文件导出-0131-1/X51211.06 机箱加高-1;装配体23^X6123A 仿真文件导出-0131-1/X-51211.07 垫高块-1;装配体23^X6123A 仿真文件导出-0131-1/ZCE34-H120-P2-B80-K40-L420-M75-N75-2;适配器图纸-6;X51211.07 飞机盒 184-140-2;X51211.07 飞机盒 184-140-4;X5524A 皮带线建模-1211-1/KSV06-A-W570-H850-1211-2;X5524A 皮带线建模-1211-1/X51211.03 工作平台-1;X5524A 皮带线建模-1211-1/KSV06-A-W570-H850-1211-1;X5524A 皮带线建模-1211-1/KPL01-B500-L1500-60-DC24-SCM-3-A-A200-1211-1/_KPL01-B500-L1500-60-DC24-SCM-3-A-A200-001-1211-1;X5524A 皮带线建模-1211-1/KPL01-B500-L1500-60-DC24-SCM-3-A-A200-1211-1/_KPL01-B500-L1500-60-DC24-SCM-3-A-A200-002-1211-1;X5523A 工作站底座1250X800  方案修改板-1211-1/X5523.03 底座维修门B-1211-2;X5523A 工作站底座1250X800  方案修改板-1211-1/X5523.03 底座维修门A-1211-1;X5523A 工作站底座1250X800  方案修改板-1211-1/X5523.02 设备底座2-1211-1;X5523A 工作站底座1250X800  方案修改板-1211-1/x-4717.02.00 脚杯+脚轮GL2-1211-3;X5523A 工作站底座1250X800  方案修改板-1211-1/02-120MM00散热风扇GL2-1211-1;X5523A 工作站底座1250X800  方案修改板-1211-1/x-4717.02.00 脚杯+脚轮GL2-1211-2;X5523A 工作站底座1250X800  方案修改板-1211-1/x-4717.02.00 脚杯+脚轮GL2-1211-1;X5523A 工作站底座1250X800  方案修改板-1211-1/AC20001GL2-1211-1;X5523A 工作站底座1250X800  方案修改板-1211-1/x-4717.01.00 空开+安装块GL2-1211-1;X5523A 工作站底座1250X800  方案修改板-1211-1/x-4717.02.00 脚杯+脚轮GL2-1211-4/_CGV01-D65A-NE-004GL2-1211-1;X5523A 工作站底座1250X800  方案修改板-1211-1/x-4717.02.00 脚杯+脚轮GL2-1211-4/_CGV01-D65A-NE-002GL2-1211-1;X5523A 工作站底座1250X800  方案修改板-1211-1/x-4717.02.00 脚杯+脚轮GL2-1211-4/_CGV01-D65A-NE-001GL2-1211-1;X5523A 工作站底座1250X800  方案修改板-1211-1/x-4717.02.00 脚杯+脚轮GL2-1211-4/_CGV01-D65A-NE-003GL2-1211-1;X617C 旋转平台+电机-1/PTN130-10(18)-14-35-50-70-M5-1,D1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
platform_link,0.0066954,0.032739,-0.19754,0,0,0,5.6268,0.032913,-0.0010198,-7.8232E-06,0.033081,-5.0652E-05,0.011116,0,0,0,0,0,0,package://robot_V10/meshes/platform_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://robot_V10/meshes/platform_link.STL,,X617A 手臂安装座^X616B　设备细化堆叠（130法兰版本）-1/X616.06 封装钣金1-1;X617A 手臂安装座^X616B　设备细化堆叠（130法兰版本）-1/X616.09 手臂安装板2-1;X617A 手臂安装座^X616B　设备细化堆叠（130法兰版本）-1/X616.02 手臂安装板-2;X617A 手臂安装座^X616B　设备细化堆叠（130法兰版本）-1/X616.03　手臂顶板-1;X617A 手臂安装座^X616B　设备细化堆叠（130法兰版本）-1/X616.04　加强板-1;____1-1211-3;J12-1;____1-1211-1,D2,YY7,joint_platform_D1,revolute,0,0,0,0,0,0,base_link,0,0,-1,100,50,-3.14,3.14,,,,,,,,
Link_A1,0.0169308367894223,0.0125928013215484,0.0768128774242119,0,0,0,0.593525762282562,0.001211740353914,-4.04510751675718E-05,-0.000169403894082202,0.00123597531032555,-0.000126111277061559,0.000561310092473764,0,0,0,0,0,0,package://robot_V10/meshes/Link_A1.STL,1,1,1,1,0,0,0,0,0,0,package://robot_V10/meshes/Link_A1.STL,,____2-1211-1,A1,Axis_joint_platform_A1,joint_platform_A1,revolute,0.15647,0.14243,-0.22731,-1.5708,0,-0.82673,platform_link,0,0,1,100,50,-3.14,3.14,,,,,,,,
Link_A2,-0.0126344741233757,-0.151722416518289,0.0226638907321563,0,0,0,0.864181213916929,0.00204291567607871,-0.000117497024088253,3.49972416744257E-05,0.000642323007807197,0.000420166237031602,0.00195279764142988,0,0,0,0,0,0,package://robot_V10/meshes/Link_A2.STL,1,1,1,1,0,0,0,0,0,0,package://robot_V10/meshes/Link_A2.STL,,____3-1211-1;____4-1211-1,A2,Axis_A2,joint_platform_A2,revolute,-0.0132108472999706,-0.00983204731723247,0.101999999998849,-1.5707963267949,-1.06818707313174,-0.930882582622158,Link_A1,0,0,1,100,50,-2.26,2.26,,,,,,,,
Link_A3,-0.117800833591657,-0.0232736791268702,0.0441646444842317,0,0,0,0.289645631614414,0.000618421627917276,-2.18347022998156E-05,9.7003656600718E-05,0.000621846882953289,0.000127897601239021,0.000167775261531985,0,0,0,0,0,0,package://robot_V10/meshes/Link_A3.STL,1,1,1,1,0,0,0,0,0,0,package://robot_V10/meshes/Link_A3.STL,,____5-1211-1,A3,Axis_joint_platform_A3,joint_platform_A3,revolute,-0.012678652632737,-0.151961786830407,0.0164610793638682,1.00030254860532,-0.123402688706427,1.56650766817711,Link_A2,0,0,1,100,50,-2.26,2.26,,,,,,,,
Link_A4,0.016896007871893,-0.00633304037762816,-0.05996151419747,0,0,0,0.239433776027785,0.000265607043125794,7.64305481199854E-06,4.14131935380001E-05,0.000283077940585531,-1.55624791539585E-05,0.000119899346983553,0,0,0,0,0,0,package://robot_V10/meshes/Link_A4.STL,1,1,1,1,0,0,0,0,0,0,package://robot_V10/meshes/Link_A4.STL,,____6-1211-1,A31,J1,joint_platform_A4,revolute,-0.132857488365902,-0.0488711328328308,0.107236171903331,-3.06893016634827,-0.582064137953246,0.995874517388692,Link_A3,0,0,-1,100,50,-3.14,3.14,,,,,,,,
Link_A5,0.0380094230376776,0.0456440434886026,0.00506810747745645,0,0,0,0.218793807603732,0.000249967614137682,-0.000120769356677445,-5.00570691133891E-05,0.000205481998419059,-6.01294670291514E-05,0.000334465752993695,0,0,0,0,0,0,package://robot_V10/meshes/Link_A5.STL,1,1,1,1,0,0,0,0,0,0,package://robot_V10/meshes/Link_A5.STL,,____7-1211-1,A5,Axis_joint_platform_A5,joint_platform_A5,revolute,-0.0113606247812901,0.0042683371510126,-0.0814999999999998,1.5707963267949,1.32513220794321,1.21130110529,Link_A4,0,0,1,100,50,-2.2,2.2,,,,,,,,
Link_A6,0.00606884565213639,0.0152502416830383,0.109538960794972,0,0,0,0.652237451823604,0.000301203372093203,-4.46063215910981E-05,-4.21673354066232E-09,0.000220903467434786,-3.3358058851477E-08,0.000367350798134239,0,0,0,0,0,0,package://robot_V10/meshes/Link_A6.STL,1,1,1,1,0,0,0,0,0,0,package://robot_V10/meshes/Link_A6.STL,,______--____20221108-1211-1;X617B 夹爪装配体^X616B　设备细化堆叠（130法兰版本）-1/CTAG2F90-00 两指平动手-20240619外发-1;X617B 夹爪装配体^X616B　设备细化堆叠（130法兰版本）-1/X gemin-305-1;X617B 夹爪装配体^X616B　设备细化堆叠（130法兰版本）-1/X616.05 夹爪连接板-1;X617B 夹爪装配体^X616B　设备细化堆叠（130法兰版本）-1/对称手指 带硅胶.STEP-1/____-____2_1.STEP-1;X617B 夹爪装配体^X616B　设备细化堆叠（130法兰版本）-1/对称手指 带硅胶.STEP-2/____-____2_1.STEP-1,A6,Axis_joint_platform_A6,joint_platform_A6,revolute,0.0736102642149934,0.0883749191141996,0.0124357145512975,-1.57079646161027,-0.699913541621339,-0.694444981452453,Link_A5,0,0,0.999999999999972,100,50,-6.2,6.2,,,,,,,,
Link_B1,-0.0210307676752361,-0.00180296761393567,0.0768121489222187,0,0,0,0.593520652882471,0.0011822089514045,-7.13362620080486E-06,0.00021041828482838,0.00126545347768904,1.79134043694063E-05,0.000561301130529158,0,0,0,0,0,0,package://robot_V10/meshes/Link_B1.STL,1,1,1,1,0,0,0,0,0,0,package://robot_V10/meshes/Link_B1.STL,,____2-1211-3,B1,Axis_joint_platform_B1,joint_platform_B1,revolute,-0.142473632839857,0.155636147433961,-0.227311716711636,-1.57079632679501,0,0.744063112694143,platform_link,0,0,1,100,50,-3.1,3.1,,,,,,,,
Link_B2,-0.153292355655283,0.143345908217216,-0.00620379121866188,0,0,0,0.864180134866302,0.0018915534289376,0.000450453898027771,-0.000142032194786381,0.000793701521401255,0.000396980873495538,0.00195281225823474,0,0,0,0,0,0,package://robot_V10/meshes/Link_B2.STL,1,1,1,1,0,0,0,0,0,0,package://robot_V10/meshes/Link_B2.STL,,____3-1211-3;____4-1211-3,B2,Axis_joint_platform_B2,joint_platform_B2,revolute,0,0,0,0.0849621690785075,1.5707963267949,0,Link_B1,0,0,1,100,50,-2.26,2.26,,,,,,,,
